RK,PLAYER,YEAR,OFF,RB,RBR,RAR,RAAO,WAAO,WAAWPO,TRPG
1,Barry Bonds,2001,12.4,115.8,0.5,126.3,110.4,10.4,0.6,5.5
2,Babe Ruth,1921,12.2,116.4,-0.8,140.2,108.9,9.8,0.6,5.8
2,Babe Ruth,1923,12.2,113,-3.8,146.3,102.2,9.7,0.6,5.5
4,Babe Ruth,1920,11.8,108.7,-1.1,125.2,101,9.6,0.6,5.5
4,Barry Bonds,2002,11.8,108.8,-1.6,120.7,101.6,9.9,0.6,5.2
6,Rogers Hornsby,1924,11.5,95.6,-2.4,123.8,98,9.5,0.6,5.2
6,Barry Bonds,2004,11.5,106.4,-0.1,112,100.7,9.6,0.6,5.4
8,Honus Wagner,1908,11.4,61.6,4.4,97.1,76.1,9.3,0.6,3.8
9,Lou Gehrig,1927,11.3,102.7,-0.5,125.3,95,8.8,0.6,5.6
9,Mickey Mantle,1957,11.3,84.2,6.4,111,91.1,9.3,0.6,4.8
11,Rogers Hornsby,1922,11.2,95.4,0.1,107.7,100.1,9.2,0.6,5.7
11,Babe Ruth,1927,11.2,101.6,-0.3,131,94.3,8.8,0.6,5.6
13,Babe Ruth,1926,11.1,97.5,-0.5,119.4,89.9,8.6,0.6,5.4
14,Ted Williams,1941,10.9,100.5,-0.8,111.2,93.4,8.9,0.6,5.4
15,Babe Ruth,1924,10.8,99.8,-2.4,124.5,90.2,8.3,0.6,5.6
16,Stan Musial,1948,10.7,85.2,1.3,111,79.8,8,0.6,5
16,Mickey Mantle,1956,10.7,84.5,5.5,116.4,91.4,8.7,0.6,5.3
18,Ty Cobb,1917,10.6,70.4,4,99.9,69.7,8.1,0.6,4.1
18,Mickey Mantle,1961,10.6,80.1,6.3,108.9,88,8.6,0.6,5.1
20,Ted Williams,1946,10.5,86.8,0.6,104.2,80.5,8.5,0.6,4.6
21,Babe Ruth,1931,10.4,96.8,0.3,112.4,90.4,8.1,0.6,5.8
22,Lou Gehrig,1934,10.2,92.7,0,114.1,85.6,7.8,0.6,5.7
22,Rogers Hornsby,1925,10.2,87.3,0.9,111.1,92.7,8.4,0.6,5.8
22,Ty Cobb,1911,10.2,73.8,10.5,107.8,80.5,7.8,0.6,5.2
25,Ted Williams,1942,10.1,86.6,0.4,103.6,80.1,8.3,0.6,4.8
25,Nap Lajoie,1910,10.1,65.7,-2.2,87.5,63.3,7.3,0.5,4
25,Mike Trout,2013,10.1,67.5,6.2,89,74.1,7.8,0.5,4.8
28,Babe Ruth,1930,10,97.5,-1.7,114.8,89.1,7.6,0.6,6.1
28,Jimmie Foxx,1932,10,91.7,-1.5,114.5,84,7.6,0.5,5.8
28,Rogers Hornsby,1928,10,79,-0.5,91,83.2,8,0.6,5.3
31,Ted Williams,1947,9.9,82.8,0.3,95.3,75.9,7.9,0.6,4.7
31,Rogers Hornsby,1921,9.9,76.2,-0.5,109.4,79.1,7.8,0.6,5.1
31,Mike Trout,2016,9.9,63.6,5.7,104.4,74.1,7.6,0.5,5
31,Carl Yastrzemski,1967,9.9,69.4,2.7,111.9,66.7,7.6,0.5,4.1
31,Babe Ruth,1928,9.9,85,-0.4,104.4,77.5,7.4,0.5,5.3
31,Ty Cobb,1915,9.9,63.4,7.6,88.8,67,7.3,0.5,4.4
31,Lou Gehrig,1930,9.9,95.3,-3.1,106.2,85,7.3,0.5,6
38,Robin Yount,1982,9.8,58.7,8.2,105.9,75.5,7.7,0.5,5
39,Sammy Sosa,2001,9.7,84,1,107.7,80,7.6,0.5,5.2
39,Honus Wagner,1907,9.7,46.2,7.9,77,63.2,7.6,0.6,3.9
39,Joe Morgan,1976,9.7,57.1,9.6,91.4,73,7.8,0.6,4.5
42,Ty Cobb,1910,9.6,60.5,6.5,92.9,62.7,7.2,0.6,4.1
42,Ted Williams,1957,9.6,83.4,-0.9,95.3,76.5,7.9,0.6,4.8
42,Nap Lajoie,1904,9.6,58.9,0.1,75.8,61.9,7.2,0.6,4
45,Hank Aaron,1963,9.5,61.5,6.8,81.8,61.1,6.9,0.5,4.2
45,Alex Rodriguez,2007,9.5,64.8,6.9,98.2,74,7.1,0.5,5.3
45,Ty Cobb,1909,9.5,57.7,9.1,85.6,58.6,7,0.5,3.8
45,Willie Mays,1965,9.5,62,4.3,104,64.6,7,0.5,4.4
45,Arky Vaughan,1935,9.5,70.9,-0.3,95,79.7,7.6,0.6,5.3
45,Lou Gehrig,1931,9.5,85.1,-0.8,94.8,77.2,7,0.5,5.7
51,Alex Rodriguez,2005,9.4,65.9,0.2,96.1,70.5,6.9,0.5,5.2
52,Joe Morgan,1975,9.4,54.9,10.2,105,71,7.4,0.6,4.6
52,Rogers Hornsby,1929,9.4,76.5,0.4,115.4,82.1,7.3,0.5,5.9
54,Ted Williams,1949,9.3,82.4,1.2,94.8,76.2,7.4,0.5,5.2
