RK,PLAYER,YEAR,OFF,RB,RBR,RAR,RAAO,WAAO,WAAWPO,TRPG
55,Jimmie Foxx,1933,9.2,80.1,0.6,98.4,73.8,6.9,0.5,5.5
55,Mickey Mantle,1958,9.2,63.8,5.9,84.7,70.1,7.2,0.5,4.7
55,Mike Trout,2018,9.2,64.6,4.1,101,71.7,7.2,0.6,5.1
55,Lou Gehrig,1936,9.2,88.4,-0.7,105.4,80.4,6.9,0.5,6.3
55,George Sisler,1920,9.2,71.7,3.9,100.6,69.5,6.8,0.5,5.2
55,Cal Ripken,1991,9.2,55.7,1.5,113.4,66.1,6.8,0.5,4.9
55,Tris Speaker,1912,9.2,68.4,2.2,98.9,66.6,6.6,0.5,4.9
62,Tris Speaker,1923,9.1,73.8,-0.7,92.8,69.1,6.6,0.5,5.2
62,Willie Mays,1963,9.1,56.1,4.3,94.3,57.8,6.5,0.5,4.2
62,Eddie Collins,1914,9.1,51.4,3.9,80.5,55.4,6.4,0.5,4
62,Al Rosen,1953,9.1,68,2.2,98.7,69.2,7,0.5,4.9
62,Hank Aaron,1959,9.1,63.4,6.2,83.9,63.4,6.6,0.5,4.8
67,Willie Mays,1964,9,53.5,7.3,101.1,59.5,6.5,0.5,4.4
67,Rogers Hornsby,1920,9,60.3,-1.3,87.5,62,6.8,0.5,4.3
69,Lou Gehrig,1928,8.9,77.4,-3.1,96.1,67.2,6.4,0.5,5.2
69,Stan Musial,1949,8.9,68.9,-0.3,92.4,62.7,6.2,0.5,5
69,Rogers Hornsby,1927,8.9,65.1,-0.9,102,69.4,6.8,0.5,5.1
69,Mike Piazza,1997,8.9,69.7,-2.1,90.5,73,7,0.5,5.1
69,Stan Musial,1951,8.9,69.1,-0.8,90,62.4,6.4,0.5,4.9
69,Joe Jackson,1912,8.9,69.3,1.6,94,63.5,6.3,0.5,4.9
69,Ty Cobb,1912,8.9,68.3,1.6,90.5,66.2,6.6,0.5,5
69,Larry Walker,1997,8.9,69.6,6.6,101.7,72.1,6.9,0.5,5.1
69,Mike Trout,2015,8.9,58.8,-0.6,90.1,60.9,6.5,0.5,4.7
69,Carl Yastrzemski,1970,8.9,66.3,3.3,91.4,60.9,6.5,0.5,4.5
69,Harry Heilmann,1923,8.9,74,0.2,96.2,67.5,6.5,0.5,5.3
69,Rod Carew,1977,8.9,63.8,6.9,96.6,65.1,6.6,0.5,5
69,Barry Bonds,1996,8.9,69.8,7.8,102.2,71.4,6.8,0.5,5.1
69,Bryce Harper,2015,8.9,69.9,2.9,97.4,66.6,6.8,0.5,4.7
69,Stan Musial,1946,8.9,65.1,-0.6,80.4,57.3,6.3,0.5,4.3
84,Dick Allen,1964,8.8,52.1,1,80.8,56.9,6.2,0.5,4.4
84,Dick Allen,1972,8.8,60.3,2.4,74.1,53.7,6.5,0.5,3.8
84,Mike Trout,2012,8.8,54.2,9.8,107.7,64.5,6.7,0.5,4.9
84,Alex Rodriguez,2000,8.8,57.1,6.1,112.4,72.5,6.6,0.5,5.8
84,Willie Mays,1958,8.8,54.5,8.3,101.3,61.8,6.3,0.5,4.8
89,Duke Snider,1953,8.7,62.2,2.4,97.9,65.5,6.3,0.5,5.3
89,Barry Bonds,1993,8.7,72.6,1.8,97.7,67.6,6.7,0.5,4.9
89,Babe Ruth,1919,8.7,67.6,-0.2,89.2,61.7,6.6,0.6,4.6
89,Alex Rodriguez,2002,8.7,51.5,4.7,91.3,63.9,6.2,0.5,5.2
89,Mookie Betts,2018,8.7,64.8,6.2,107.5,66.8,6.7,0.5,5.1
89,Jason Giambi,2001,8.7,77,-0.1,94.1,65.3,6.3,0.5,5.3
95,Barry Bonds,2003,8.6,76.9,0.9,94.6,72.5,7,0.6,5.2
95,Willie Mays,1955,8.6,58.1,4.6,93.2,62,6.2,0.5,5
95,Honus Wagner,1905,8.6,47.3,4.3,95.1,61.2,6.6,0.5,4.5
95,Rickey Henderson,1985,8.6,47.5,17.7,100.1,66.1,6.7,0.5,5
95,Ernie Banks,1958,8.6,49.1,1.8,94,59.7,6.1,0.5,4.8
95,Jackie Robinson,1949,8.6,47.2,5.9,95.8,59.3,5.9,0.5,4.9
95,Tris Speaker,1916,8.6,57.2,-1.2,77.1,52.1,6.1,0.5,4
102,Willie Mays,1954,8.6,61,2.6,107.4,62.3,6.2,0.5,5
103,Norm Cash,1961,8.5,76.4,-1.5,94.6,65.3,6.5,0.5,5
103,Joe Jackson,1911,8.5,70.1,-0.7,91.4,62.9,6.2,0.5,5
103,Albert Pujols,2003,8.5,73.5,2.4,89,67.2,6.5,0.5,5.1
103,Tris Speaker,1914,8.5,52.4,0.8,88.1,49.1,5.7,0.5,4
103,George Brett,1980,8.5,60.5,5.2,94.8,68.9,6.9,0.6,5.1
103,Reggie Jackson,1969,8.5,64,-0.6,88.2,57.9,6.3,0.5,4.5
103,Ron Santo,1964,8.5,52.2,-1.8,81.6,53.6,5.8,0.5,4.4
103,Eddie Collins,1909,8.5,44.8,5.2,83.7,50.1,6,0.5,3.8
111,Mickey Mantle,1955,8.4,58.1,5.2,93.4,63.9,6.5,0.5,4.9
111,Alex Rodriguez,1996,8.4,57.4,3.4,101,68.9,6.3,0.5,5.9
111,Ted Williams,1948,8.4,72,3.7,88,70.7,6.7,0.5,5.3
111,Rico Petrocelli,1969,8.4,48,-0.6,94.4,56.6,6.1,0.5,4.4
111,Lou Boudreau,1948,8.4,57.7,-1.2,106.9,67.6,6.5,0.5,5.2
111,Joe Morgan,1972,8.4,42.2,8.2,84.8,57.6,6.4,0.5,4.3
117,Frank Robinson,1962,8.3,63,2.8,85.6,57,5.7,0.5,4.9
117,Mel Ott,1938,8.3,60.7,0.1,87.8,60.6,6,0.5,4.8
117,Willie Mays,1962,8.3,55.2,3.9,102.7,56.8,5.7,0.5,4.9
117,Joe DiMaggio,1941,8.3,66.1,0.5,94.1,65.2,6.3,0.5,5.2
117,Jimmie Foxx,1934,8.3,69.4,1.8,97.2,64.8,5.9,0.5,5.6
117,Barry Bonds,1992,8.3,61.3,3.8,83.2,60,6.5,0.5,4.3
117,Wade Boggs,1985,8.3,55.1,2.2,91.2,59.8,6.1,0.5,5
117,Rickey Henderson,1990,8.3,60.7,6.1,96.1,59.4,6.3,0.5,4.8
125,Honus Wagner,1906,8.2,39.6,4,81.7,52.8,6.2,0.5,4
125,Duke Snider,1955,8.2,52.8,3.5,88.7,58.6,5.8,0.5,4.9
125,Honus Wagner,1909,8.2,44.4,0.6,79.7,54,6.3,0.5,4
125,Hank Aaron,1967,8.2,53.3,3.9,76.1,51.6,5.8,0.5,4.2
125,Joe Medwick,1937,8.2,66.7,0,84.1,59.4,5.9,0.5,4.9
125,Tris Speaker,1920,8.2,65.1,-1.5,87.2,59.8,5.8,0.5,5.2
125,Frank Baker,1912,8.2,51.9,0.3,89.9,57.2,5.7,0.5,4.9
125,Roberto Clemente,1967,8.2,53.6,4.7,78.9,52.4,5.9,0.5,4.2
125,George Sisler,1922,8.2,62.4,3.8,89.3,60.1,5.8,0.5,5.2
134,Jackie Robinson,1951,8.1,44.7,3.3,95.2,55,5.7,0.5,4.8
134,Joe Morgan,1974,8.1,45.9,8,83.3,58.8,6.2,0.5,4.5
134,Ken Griffey Jr.,1993,8.1,52.5,3.6,90.1,57.1,5.7,0.5,5.1
137,Joe Morgan,1973,8,43.5,7.2,89.5,56.3,5.9,0.5,4.5
137,Eddie Collins,1912,8,47.6,7.1,85.1,54.7,5.5,0.5,4.9
137,Eddie Collins,1915,8,49.5,-0.1,86.1,49.4,5.4,0.5,4.3
137,Willie Mays,1960,8,47.5,4.8,90.4,51.8,5.4,0.5,4.6
141,Stan Musial,1943,7.9,59.3,-0.6,86.1,51.6,5.8,0.5,4.2
141,Ron Santo,1966,7.9,48.5,0.8,82,51.6,5.6,0.5,4.4
141,Fred Lynn,1979,7.9,54.5,2.8,90.2,58.5,5.8,0.5,5.1
141,Albert Pujols,2009,7.9,67.3,3.1,97.3,58.8,5.8,0.5,4.9
141,Lou Gehrig,1935,7.9,67.4,-0.8,93.5,59.7,5.5,0.5,5.5
141,Jackie Robinson,1952,7.9,39.7,4.9,80.9,51.1,5.5,0.5,4.5
141,George Stone,1906,7.9,55.7,-0.6,75.8,46.9,5.4,0.5,4
148,Dan Brouthers,1892,7.8,63.1,-2.3,95.2,60.6,5.5,0.5,5.6
148,Eddie Collins,1913,7.8,45.7,2.3,82.1,48.1,5.3,0.5,4.3
148,Josh Hamilton,2010,7.8,53,3.8,87.3,55.3,5.7,0.5,4.9
151,Ernie Banks,1959,7.8,41.3,0.6,98.2,50,5.2,0.5,4.8
152,Alex Rodriguez,1998,7.7,38.2,4.6,89.4,55.3,5.3,0.5,5.4
152,Tony Gwynn,1987,7.7,49.5,10.9,84.8,55.2,5.4,0.5,4.9
152,Rogers Hornsby,1917,7.7,39.8,-0.7,84.9,48.8,5.8,0.5,3.9
152,Eddie Collins,1910,7.7,33,9.9,91.3,42.9,5,0.5,3.9
152,Mike Schmidt,1974,7.7,46.3,0.9,92.7,52.6,5.5,0.5,4.5
152,Josh Donaldson,2015,7.7,45.2,3.3,84.1,49,5.3,0.5,4.6
158,Bret Boone,2001,7.6,46.3,0.6,90.7,53.6,5.2,0.5,5.2
158,Ken Griffey Jr.,1997,7.6,48.8,3.2,94.5,53.7,5.2,0.5,5.3
158,Carl Yastrzemski,1968,7.6,46.8,3.6,89.6,42.7,5.3,0.5,3.7
158,Will Clark,1989,7.6,55.3,2,80.4,49.9,5.4,0.5,4.2
162,Cal Ripken,1984,7.5,39.9,2.2,97.5,50.5,5.3,0.5,4.7
162,Nap Lajoie,1906,7.5,44.6,-1.5,86.7,44.1,5.1,0.5,4
162,Mike Schmidt,1980,7.5,47.1,-1.3,83,50.2,5.3,0.5,4.4
162,Craig Biggio,1997,7.5,43.5,7.2,96.4,56.5,5.4,0.5,5
162,Chuck Knoblauch,1996,7.5,49.8,2.7,92.6,56.3,5.2,0.5,5.8
167,Ron Santo,1967,7.4,42.2,-0.7,86,43.8,5,0.5,4.1
167,Albert Pujols,2008,7.4,64.6,0.3,94.6,56.7,5.5,0.5,5
169,Adrian Beltre,2004,7.3,53.9,0.8,97.5,55,5.3,0.5,5
169,Stan Musial,1944,7.3,57.3,-0.6,84.8,50.7,5.3,0.5,4.6
169,Willie Mays,1961,7.3,44.8,2.3,86.5,46.8,4.8,0.5,4.9
172,Todd Helton,2000,7.2,63.2,0.7,95.5,55.4,5.1,0.5,5.4
173,Darrell Evans,1973,7.1,44.3,-0.2,86.9,46.9,4.9,0.5,4.4
174,Robinson Cano,2012,7,41.4,-1.9,83.5,42.8,4.5,0.5,4.7
174,George Brett,1979,7,39.7,3.3,86.8,47.4,4.8,0.5,5
174,Ryne Sandberg,1984,7,38.5,0.4,79.3,44.7,4.7,0.5,4.3
177,Hank Aaron,1961,6.9,42.1,4.1,92,43.1,4.4,0.5,4.8
177,Johnny Bench,1972,6.9,41.2,-2.2,77.5,44.1,4.9,0.5,4.2
179,Gary Carter,1982,6.8,33.8,0,79.5,43.2,4.6,0.5,4.3
179,Paul Goldschmidt,2015,6.8,52.9,4.1,85.7,46.1,4.7,0.5,4.5
179,Rickey Henderson,1980,6.8,40.1,9.3,85.7,44.6,4.7,0.5,4.8
179,Willie Mays,1966,6.8,39.8,2.2,82.1,41.5,4.5,0.5,4.4
183,Arky Vaughan,1938,6.7,36.2,-1.1,83.8,44.9,4.5,0.5,4.7
183,Mike Schmidt,1977,6.7,40.9,2.4,87.1,46,4.6,0.5,4.7
185,Cody Bellinger,2019,6.6,51.7,1.1,94.1,46.9,4.5,0.5,5
185,Snuffy Stirnweiss,1945,6.6,33.2,1.3,78.4,41.5,4.6,0.5,4.2
187,Ken Griffey Jr.,1996,6.5,38.9,3.4,103.1,47.7,4.4,0.5,5.7
188,Barry Bonds,1990,6.4,46.3,3.2,91.4,43.9,4.5,0.5,4.5
189,Mookie Betts,2016,6.2,29.8,8.9,92.2,36.1,3.8,0.5,4.7
190,Lonnie Smith,1989,6.1,44.1,0.8,80.9,39.8,4.3,0.5,4.2
190,Ben Zobrist,2009,6.1,36.9,1.3,87.4,39.9,4,0.5,5.1
190,Ichiro Suzuki,2004,6.1,35.7,3.8,94.3,38.1,3.7,0.5,5.2
190,Scott Rolen,2004,6.1,39.5,1.9,92.1,43.6,4.3,0.5,5
194,Willie Wilson,1980,5.9,18.6,16.6,82.8,35.3,3.8,0.5,4.7
195,Chase Utley,2008,5.8,29.2,3.5,91.6,38.9,3.8,0.5,4.9
195,Lenny Dykstra,1990,5.8,29.3,5.7,83.4,37.7,3.8,0.5,4.5
197,Ben Zobrist,2011,5.7,26,2.6,85.2,31.5,3.4,0.5,4.6
198,Albert Pujols,2007,5.6,51.3,-1.9,89.9,37.7,3.6,0.5,5
199,Frankie Frisch,1927,5.4,23.1,5,90.6,33.3,3.3,0.5,4.8
200,Terry Turner,1906,5.2,14.7,-0.6,79.9,24,2.8,0.5,3.9
